"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\auth.js", "JavaScript", 71, 0, 2, 2, 75
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\carousel.js", "JavaScript", 61, 0, 0, 3, 64
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\categories.js", "JavaScript", 38, 0, 0, 3, 41
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\checkout.js", "JavaScript", 30, 0, 0, 2, 32
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\products.js", "JavaScript", 2163, 0, 85, 47, 2295
"c:\Users\User1\Desktop\PerlaNodeRest\controllers\user.js", "JavaScript", 36, 0, 0, 8, 44
"c:\Users\User1\Desktop\PerlaNodeRest\db.js", "JavaScript", 8, 0, 0, 3, 11
"c:\Users\User1\Desktop\PerlaNodeRest\index.js", "JavaScript", 33, 0, 10, 8, 51
"c:\Users\User1\Desktop\PerlaNodeRest\package-lock.json", "JSON", 0, 2222, 0, 1, 2223
"c:\Users\User1\Desktop\PerlaNodeRest\package.json", "JSON", 0, 24, 0, 1, 25
"c:\Users\User1\Desktop\PerlaNodeRest\routes\auth.js", "JavaScript", 5, 0, 1, 0, 6
"c:\Users\User1\Desktop\PerlaNodeRest\routes\carousel.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\User1\Desktop\PerlaNodeRest\routes\categories.js", "JavaScript", 5, 0, 0, 5, 10
"c:\Users\User1\Desktop\PerlaNodeRest\routes\checkout.js", "JavaScript", 5, 0, 1, 1, 7
"c:\Users\User1\Desktop\PerlaNodeRest\routes\products.js", "JavaScript", 35, 0, 2, 1, 38
"c:\Users\User1\Desktop\PerlaNodeRest\routes\user.js", "JavaScript", 5, 0, 0, 2, 7
"Total", "-", 2501, 2246, 101, 88, 4936
